Perturbed dimension,Perturbed dimension display,Threshold perturbation,Threshold delta,Weight perturbation,Weight delta,Applied T_R,Applied T_A,T_C_direct,T_C_review,T_R clipped,T_A clipped,New target weight,Admitted,Delta admitted,Not admitted,Delta not admitted,Admission flips,Admission flip rate,Decision-category flips,Lost admissions,New admissions,Lost client IDs,New client IDs,Admitted-set Jaccard,Direct auto-accept,Review accept,Remediate,Auto-reject
source_reliability,Source Reliability,+10%,0.1,-10%,-0.1,3.3000000000000003,4.4,4.4,3.8500000000000005,False,False,0.18000000000000005,6,-6,14,6,6,0.3,12,6,0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,3,3,6,8
source_reliability,Source Reliability,+10%,0.1,0%,0.0,3.3000000000000003,4.4,4.4,3.8500000000000005,False,False,0.2,6,-6,14,6,6,0.3,12,6,0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,3,3,6,8
source_reliability,Source Reliability,+10%,0.1,+10%,0.1,3.3000000000000003,4.4,4.4,3.8500000000000005,False,False,0.22000000000000003,6,-6,14,6,6,0.3,12,6,0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,3,3,6,8
source_reliability,Source Reliability,+10%,0.1,+20%,0.2,3.3000000000000003,4.4,4.4,3.8500000000000005,False,False,0.24,6,-6,14,6,6,0.3,12,6,0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,3,3,6,8
source_reliability,Source Reliability,+10%,0.1,+30%,0.3,3.3000000000000003,4.4,4.4,3.8500000000000005,False,False,0.26,6,-6,14,6,6,0.3,12,6,0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,3,3,6,8
source_reliability,Source Reliability,+20%,0.2,-30%,-0.3,3.5999999999999996,4.8,4.8,4.199999999999999,False,False,0.14,6,-6,14,6,6,0.3,15,6,0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,0,6,0,14
source_reliability,Source Reliability,+20%,0.2,-20%,-0.2,3.5999999999999996,4.8,4.8,4.199999999999999,False,False,0.16000000000000006,6,-6,14,6,6,0.3,15,6,0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,0,6,0,14
source_reliability,Source Reliability,+20%,0.2,-10%,-0.1,3.5999999999999996,4.8,4.8,4.199999999999999,False,False,0.18000000000000005,6,-6,14,6,6,0.3,15,6,0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,0,6,0,14
source_reliability,Source Reliability,+20%,0.2,0%,0.0,3.5999999999999996,4.8,4.8,4.199999999999999,False,False,0.2,6,-6,14,6,6,0.3,15,6,0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,0,6,0,14
source_reliability,Source Reliability,+20%,0.2,+10%,0.1,3.5999999999999996,4.8,4.8,4.199999999999999,False,False,0.22000000000000003,6,-6,14,6,6,0.3,15,6,0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,0,6,0,14
source_reliability,Source Reliability,+20%,0.2,+20%,0.2,3.5999999999999996,4.8,4.8,4.199999999999999,False,False,0.24,6,-6,14,6,6,0.3,15,6,0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,0,6,0,14
source_reliability,Source Reliability,+20%,0.2,+30%,0.3,3.5999999999999996,4.8,4.8,4.199999999999999,False,False,0.26,6,-6,14,6,6,0.3,15,6,0,client_001|client_005|client_008|client_011|client_015|client_019,,0.5,0,6,0,14
source_reliability,Source Reliability,+30%,0.3,-30%,-0.3,3.9000000000000004,5.0,5.0,4.45,False,True,0.14,3,-9,17,9,9,0.45,15,9,0,client_001|client_003|client_005|client_008|client_010|client_011|client_015|client_017|client_019,,0.25,0,3,3,14
source_reliability,Source Reliability,+30%,0.3,-20%,-0.2,3.9000000000000004,5.0,5.0,4.45,False,True,0.16000000000000006,3,-9,17,9,9,0.45,15,9,0,client_001|client_003|client_005|client_008|client_010|client_011|client_015|client_017|client_019,,0.25,0,3,3,14
source_reliability,Source Reliability,+30%,0.3,-10%,-0.1,3.9000000000000004,5.0,5.0,4.45,False,True,0.18000000000000005,3,-9,17,9,9,0.45,15,9,0,client_001|client_003|client_005|client_008|client_010|client_011|client_015|client_017|client_019,,0.25,0,3,3,14
source_reliability,Source Reliability,+30%,0.3,0%,0.0,3.9000000000000004,5.0,5.0,4.45,False,True,0.2,3,-9,17,9,9,0.45,15,9,0,client_001|client_003|client_005|client_008|client_010|client_011|client_015|client_017|client_019,,0.25,0,3,3,14
