Perturbed dimension,Perturbed dimension display,Weight perturbation,Weight delta,Baseline target weight,New target weight,Weight::source_reliability,Weight::data_quality,Weight::documentation,Weight::timeliness,Weight::regulatory,Weight::context,Admitted,Delta admitted,Not admitted,Delta not admitted,Admission flips,Admission flip rate,Decision-category flips,Lost admissions,New admissions,Lost client IDs,New client IDs,Admitted-set Jaccard,Direct auto-accept,Review accept,Remediate,Auto-reject
timeliness,Timeliness,+10%,0.1,0.15,0.165,0.19647058823529412,0.24558823529411763,0.14735294117647058,0.165,0.14735294117647058,0.09823529411764706,12,0,8,0,0,0.0,0,0,0,,,1.0,6,6,3,5
timeliness,Timeliness,+20%,0.2,0.15,0.18,0.19294117647058828,0.24117647058823533,0.14470588235294118,0.18,0.14470588235294118,0.09647058823529414,12,0,8,0,0,0.0,0,0,0,,,1.0,6,6,3,5
timeliness,Timeliness,+30%,0.3,0.15,0.195,0.18941176470588236,0.23676470588235293,0.14205882352941177,0.195,0.14205882352941177,0.09470588235294118,12,0,8,0,0,0.0,0,0,0,,,1.0,6,6,3,5
regulatory,Regulatory,-30%,-0.3,0.15,0.105,0.21058823529411766,0.26323529411764707,0.15794117647058822,0.15794117647058822,0.105,0.10529411764705883,12,0,8,0,0,0.0,1,0,0,,,1.0,6,6,4,4
regulatory,Regulatory,-20%,-0.2,0.15,0.12,0.2070588235294118,0.25882352941176473,0.15529411764705883,0.15529411764705883,0.12,0.1035294117647059,12,0,8,0,0,0.0,1,0,0,,,1.0,6,6,4,4
regulatory,Regulatory,-10%,-0.1,0.15,0.13500000000000004,0.2035294117647059,0.2544117647058824,0.1526470588235294,0.1526470588235294,0.13500000000000004,0.10176470588235295,12,0,8,0,0,0.0,1,0,0,,,1.0,6,6,4,4
regulatory,Regulatory,0%,0.0,0.15,0.15,0.2,0.25,0.15,0.15,0.15,0.1,12,0,8,0,0,0.0,0,0,0,,,1.0,6,6,3,5
regulatory,Regulatory,+10%,0.1,0.15,0.165,0.19647058823529412,0.24558823529411763,0.14735294117647058,0.14735294117647058,0.165,0.09823529411764706,12,0,8,0,0,0.0,0,0,0,,,1.0,6,6,3,5
regulatory,Regulatory,+20%,0.2,0.15,0.18,0.19294117647058828,0.24117647058823533,0.14470588235294118,0.14470588235294118,0.18,0.09647058823529414,12,0,8,0,0,0.0,0,0,0,,,1.0,6,6,3,5
regulatory,Regulatory,+30%,0.3,0.15,0.195,0.18941176470588236,0.23676470588235293,0.14205882352941177,0.14205882352941177,0.195,0.09470588235294118,12,0,8,0,0,0.0,3,0,0,,,1.0,6,6,0,8
context,Context,-30%,-0.3,0.1,0.06999999999999999,0.2066666666666667,0.25833333333333336,0.155,0.155,0.155,0.06999999999999999,12,0,8,0,0,0.0,1,0,0,,,1.0,6,6,4,4
context,Context,-20%,-0.2,0.1,0.08000000000000002,0.20444444444444443,0.25555555555555554,0.15333333333333332,0.15333333333333332,0.15333333333333332,0.08000000000000002,12,0,8,0,0,0.0,1,0,0,,,1.0,6,6,4,4
context,Context,-10%,-0.1,0.1,0.09000000000000002,0.20222222222222225,0.2527777777777778,0.15166666666666667,0.15166666666666667,0.15166666666666667,0.09000000000000002,12,0,8,0,0,0.0,0,0,0,,,1.0,6,6,3,5
context,Context,0%,0.0,0.1,0.1,0.2,0.25,0.15,0.15,0.15,0.1,12,0,8,0,0,0.0,0,0,0,,,1.0,6,6,3,5
context,Context,+10%,0.1,0.1,0.11000000000000001,0.1977777777777778,0.24722222222222223,0.14833333333333334,0.14833333333333334,0.14833333333333334,0.11000000000000001,12,0,8,0,0,0.0,0,0,0,,,1.0,6,6,3,5
context,Context,+20%,0.2,0.1,0.12,0.19555555555555557,0.24444444444444444,0.14666666666666667,0.14666666666666667,0.14666666666666667,0.12,12,0,8,0,0,0.0,0,0,0,,,1.0,6,6,3,5
context,Context,+30%,0.3,0.1,0.13,0.19333333333333336,0.24166666666666667,0.145,0.145,0.145,0.13,12,0,8,0,0,0.0,0,0,0,,,1.0,6,6,3,5
