seed,final_pr_auc,final_f1,avg_noise,total_comm_bytes,total_energy_uj,energy_measured_rounds,energy_expected_rounds,energy_complete,energy_measurement_methods,avg_comm_per_round_bytes,avg_energy_per_round_uj,total_crypto_operation_ms,avg_crypto_operation_ms_per_round,total_crypto_setup_ms,cumulative_session_key_processing_ms,one_time_enrollment_setup_ms,round_execution_runtime_s,end_to_end_runtime_including_setup_s,mean_observed_relative_decryption_error,mean_aggregate_relative_error,max_aggregate_relative_error,max_aggregate_abs_error,aggregate_fidelity_checks,aggregate_fidelity_failures,n_rounds
7,0.7268344329773356,0.721030042918455,2.910383045673371e-12,13762560.0,,0,20,False,not_reported,688128.0,,126366.75290600306,6318.337645300153,2519.3727139999282,0.0,2519.3727139999282,146.65921792400104,149.17859063800097,,1.7647070149260745e-05,5.20794098401084e-05,2.1752133427983822e-07,20,0,20
11,0.7263391760793125,0.717948717948718,2.910383045673371e-12,13762560.0,,0,20,False,not_reported,688128.0,,126196.80056099925,6309.840028049963,2222.00487300006,0.0,2222.00487300006,146.87852479100002,149.10052966400008,,1.7482003728374115e-05,5.057256333421278e-05,2.5764477934279995e-07,20,0,20
19,0.7265717120134756,0.721030042918455,2.910383045673371e-12,13762560.0,,0,20,False,not_reported,688128.0,,129231.90687299668,6461.595343649834,1937.3737649998475,0.0,1937.3737649998475,150.33972918399968,152.27710294899953,,1.6741461601305778e-05,4.4047925907409616e-05,2.191135566799885e-07,20,0,20
23,0.7271660221799326,0.7148936170212766,2.910383045673371e-12,13762560.0,,0,20,False,not_reported,688128.0,,127710.146942994,6385.5073471497,1946.5415150002627,0.0,1946.5415150002627,148.8534391140006,150.79998062900086,,1.8707993693112565e-05,7.029923393926291e-05,2.781041547660155e-07,20,0,20
42,0.7266519334042105,0.717948717948718,2.910383045673371e-12,13762560.0,,0,20,False,not_reported,688128.0,,127305.40317699432,6365.270158849717,1960.6479000003674,0.0,1960.6479000003674,148.05680325600042,150.0174511560008,,1.8476031983865176e-05,6.237604860614056e-05,1.8904431653182958e-07,20,0,20
