seed,final_pr_auc,final_f1,avg_noise,total_comm_bytes,total_energy_uj,energy_measured_rounds,energy_expected_rounds,energy_complete,energy_measurement_methods,avg_comm_per_round_bytes,avg_energy_per_round_uj,total_crypto_operation_ms,avg_crypto_operation_ms_per_round,total_crypto_setup_ms,cumulative_session_key_processing_ms,one_time_enrollment_setup_ms,round_execution_runtime_s,end_to_end_runtime_including_setup_s,mean_observed_relative_decryption_error,mean_aggregate_relative_error,max_aggregate_relative_error,max_aggregate_abs_error,aggregate_fidelity_checks,aggregate_fidelity_failures,n_rounds
7,0.7223902413185705,0.7063829787234043,,59091108.0,,0,3,False,not_reported,19697036.0,,3337587.9223369993,1112529.3074456665,120572.7533219997,0.0,120572.7533219997,3340.962453073,3461.5352063949995,1.908110577313998e-05,1.908110577313998e-05,2.128258120592098e-05,2.4971834609588406e-06,3,0,3
11,0.7205832162105835,0.7136929460580913,,59091048.0,,0,3,False,not_reported,19697016.0,,3335257.5473070033,1111752.515769001,121765.1869199999,0.0,121765.1869199999,3338.5693945759986,3460.3345814959985,2.2629568779069965e-05,2.2629568779069965e-05,2.3874798131067315e-05,4.2366124879504585e-06,3,0,3
19,0.7223171107503952,0.7456140350877193,,59091132.0,,0,3,False,not_reported,19697044.0,,3457656.560404001,1152552.1868013337,119976.83867300111,0.0,119976.83867300111,3461.154349248998,3581.1311879219993,2.0165438809923027e-05,2.0165438809923027e-05,2.3197411508185466e-05,2.6722505084200016e-06,3,0,3
