seed,final_pr_auc,final_f1,avg_noise,total_comm_bytes,total_energy_uj,energy_measured_rounds,energy_expected_rounds,energy_complete,energy_measurement_methods,avg_comm_per_round_bytes,avg_energy_per_round_uj,total_crypto_operation_ms,avg_crypto_operation_ms_per_round,total_crypto_setup_ms,cumulative_session_key_processing_ms,one_time_enrollment_setup_ms,round_execution_runtime_s,end_to_end_runtime_including_setup_s,mean_observed_relative_decryption_error,mean_aggregate_relative_error,max_aggregate_relative_error,max_aggregate_abs_error,aggregate_fidelity_checks,aggregate_fidelity_failures,n_rounds
7,0.7280703524581961,0.7196652719665272,2.910383045673371e-12,23033600.0,,0,20,False,not_reported,1151680.0,,219265.21270699866,10963.260635349932,3375.233474999959,0.0,3375.233474999959,239.5259822280002,242.90121570300016,,2.981987770284403e-05,8.158241467922141e-05,3.386411287326866e-07,20,0,20
11,0.7281488035929716,0.7196652719665272,2.910383045673371e-12,23033600.0,,0,20,False,not_reported,1151680.0,,217097.5472870005,10854.877364350024,3705.18578899987,0.0,3705.18578899987,236.95458249100056,240.65976828000043,,3.3648352146245256e-05,0.0001270941052736973,3.6902737634127505e-07,20,0,20
19,0.7281166723766804,0.7196652719665272,2.910383045673371e-12,23033600.0,,0,20,False,not_reported,1151680.0,,215720.67672299998,10786.03383615,3237.509328999977,0.0,3237.509328999977,235.52078052599973,238.7582898549997,,2.9394310369067595e-05,8.956361246100019e-05,3.695319915480999e-07,20,0,20
23,0.7277129824204979,0.7196652719665272,2.910383045673371e-12,23033600.0,,0,20,False,not_reported,1151680.0,,216820.8217250003,10841.041086250016,3884.8841090000406,0.0,3884.8841090000406,236.6128170289992,240.49770113799923,,3.457442880397941e-05,9.637513935554113e-05,4.2852557163917775e-07,20,0,20
42,0.7278536006729349,0.7196652719665272,2.910383045673371e-12,23033600.0,,0,20,False,not_reported,1151680.0,,217021.7342779988,10851.08671389994,3410.0675839999894,0.0,3410.0675839999894,236.71401480199984,240.12408238599983,,4.301080315979619e-05,0.00018555828831955814,3.60110808191429e-07,20,0,20
