sequence,event_id,ledger_id,timestamp,protocol_version,record_type,scenario,approach,mode,transaction_id,client_id,version,template,dataset_version,dataset_commitment,data_summary_hash,evidence_bundle_hash,evidence_bundle_artifact_hash,evidence_bundle_artifact_relpath,validator_version,rubric_version,governance_policy_version,evidence_manifest_hash,evidence_hash,data_manifest_hash,data_manifest_validation_hash,metadata_validation_status,dimension_scores,final_governance_values_hash,pscore,policy_profile_id,hps_accept_threshold,hps_reject_threshold,critical_profile_review_threshold,critical_profile_threshold_applied,critical_profile_threshold_name,critical_dimension_threshold,critical_dimensions,critical_hps,critical_dimension_min,arq_boundary_policy,arq_region,review_policy_id,review_recommendation,review_reason_code,review_reason_text,governance_archetype,risk_archetype,initial_action,final_action,action,review_outcome,manual_review_required,manual_review_disposition,safe_default_applied,current_session_eligibility,reassessment_eligibility,n_samples,position,percentile,cia_confidentiality,cia_integrity,cia_availability,cia_high_water,business_impact,client_required_security_class,client_required_security_tier,security_class,security_tier,computed_strictest_security_class,computed_strictest_security_tier,current_survivor_strictest_class,current_survivor_strictest_tier,session_locked_security_class,session_locked_security_tier,session_profile_locked,admission_receipt_hash,admission_receipt_signature_hash,admission_receipt_artifact_hash,admission_receipt_artifact_relpath,admission_expires_at,session_id,session_epoch,parent_session_id,parent_session_security_decision_hash,session_reform_reason,session_security_decision_hash,session_security_decision_signature_hash,session_decision_artifact_hash,session_decision_artifact_relpath,session_decision_expires_at,risk_assessment_hash,revocation_status,execution_mode,requested_benchmark_tier,round_id,event_status,verification_stage,violation_type,reason_code,violation_details,signature_verified,freshness_verified,pofc_verified,semantic_verified,rate_limit_ok,blocked_before_aggregation,payload_hash,envelope_hash,key_id,signature_hash,global_model_hash,model_schema_hash,crypto_mechanism,crypto_backend,parameter_set_id,key_tag,expanded,ks_applied,shares_available,shares_required,can_finalize,comm_factor,crypto_overhead_ms,noise_std,ciphertext_commitment,evaluation_key_commitment,ciphertext_attestation_artifact_hash,ciphertext_attestation_artifact_relpath,submission_artifact_hash,submission_artifact_relpath,artifact_type,artifact_id,artifact_hash,artifact_relpath,local_ledger_id,local_event_hash,local_ledger_head_hash,crypto_ledger_id,crypto_event_hash,crypto_ledger_head_hash,subledger_manifest_hash,subledger_seal_count,prev_hash,row_hash,bundle_hash,checkpoint_signature
1,4b995f37b8bd37ab173accbaf3a72803,7e9eb58cbdb02b74756f5c4c27945b3cc9e1a238ec3d8ac82aa08aa22eac48ef,2026-08-24T22:54:41.476435+00:00,TADP-SEC/14.0,CLIENT_ACCEPTED_SUBMISSION,T1_Plain_TADP,,,,client_005,,,,,,,,,,,2.3-phase1-fixed-threshold-critical-floor-review-profile,e910eb11d46f5a33a9f6a7d996c6c242f2a4caa089255874076d8ae12155dc94,4e91dad0bdca381cdf181abcb3c58fbdf8525cfa193b19ecca82fb101934b496,06bc69b9c3f13b313b07b410d3fc30fac952a993dcfea331f62f5c65f2de56d1,a3b8208246e72eb5f383bfdcf71b381b4cb65fcfe2512f46091a0d7d9d56033c,VALIDATED_EVIDENCE_BUNDLE,,,,,,,,,,,,,,,,,,,,,,,,UPDATE_SUBMITTED_ENFORCED,,False,NOT_REQUIRED_AUTOMATED_POLICY,False,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,44a80aca8f6537b2f70c7f8b5cb7111afedb8e8afb3665f5c23fd212cfbb74e7,12abaeda2fba483afcef4ff9daf8aaeed2b2df1e0a1a1ba7195b79af3cbff092,,,2026-08-25T22:32:04.883782+00:00,e878c886c2fce5669a5abdfd2cf12d11,,,,,80467a1951f575569b9d5a1589ff2eaaa2003be9007744f2b34141dde5521ad1,f2b14f9d80c666ab005ad941036b0ad284f2ba09098ec9ba2c48cc2786e88891,,,2026-08-25T22:54:40.997990+00:00,75d46ecd684a2dc4b6a8e27daff7fed8db3fae5cae653b9ddb3099795df8cd6c,active,,,1,ACCEPTED,ALL_BASELINE_CONTROLS,,,,True,True,True,True,True,False,wa12Xt2zcpH7S2wLp4ogfYZRsd6WMtWnvXZpw0V4HxE=,adec171b9d497f1b504810576761c31d8dd45c5e8dd1d71e13b45f07ab2488c2,/AihxcWZKMhhMS8aavWjybrhf6c3gFpzeEPlX7hunhM=,dd1c5cae89c08db27abaf15d3983cd3edf2f0f5628cf4b469b61cc0d30ca14ce,MUKy9PXfefybJdPNavwdKZNHJzbHyDxO2GyrtojA/DA=,d2de0eecb364b6ad6dfd68c57fbb2b61edd7f408c047202d5ab95910a24e2627,,,,,,,,,,,,,,,,,8dec987f33800a93a785261b8ab6afd40f7f442d90c033204291184c0d0ab424,audit_trails/artifacts/accepted_runtime_submissions/T1_Plain_TADP_client_005_r1_adec171b9d497f1b__8dec987f33800a93.json,,,,,,,,,,,,,e980c51766741606f68e6b8dfb529afb2e915290acc77e6637cb6fa1f0f38a18,f509acf4e02c3008557af501f270df16c42fcb50cd651bc49be0ec52717d5213,,
2,cdb12ef03e0c81bd2e749be942e120c6,7e9eb58cbdb02b74756f5c4c27945b3cc9e1a238ec3d8ac82aa08aa22eac48ef,2026-08-24T22:54:41.495970+00:00,TADP-SEC/14.0,CLIENT_CIPHERTEXT_BINDING,T1_Plain_TADP,,,,client_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPHERTEXT_BOUND_TO_SIGNED_UPDATE,,,,,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,,,,,,e878c886c2fce5669a5abdfd2cf12d11,,,,,,,,,,,,,,1,VERIFIED,,,,,True,,,,,False,wa12Xt2zcpH7S2wLp4ogfYZRsd6WMtWnvXZpw0V4HxE=,adec171b9d497f1b504810576761c31d8dd45c5e8dd1d71e13b45f07ab2488c2,/AihxcWZKMhhMS8aavWjybrhf6c3gFpzeEPlX7hunhM=,f9fba82a72bfb6ef9e42c623f9fb6f705ea38388eb228f744cf8f040828a2e68,MUKy9PXfefybJdPNavwdKZNHJzbHyDxO2GyrtojA/DA=,d2de0eecb364b6ad6dfd68c57fbb2b61edd7f408c047202d5ab95910a24e2627,plaintext_update_no_noise,reference_python,n=|logq=|scale=|scheme=plain,plain,,,,,,,,,f6a4a3ed9e1bb33940d4bc422dccaa504d40de41eeb1567aa332589c739d8030,,35caa62ba12111dab89d4dac7871ca3db4a8e5e29120a311dda2247aa3ac76c7,audit_trails/artifacts/ciphertext_attestations/T1_Plain_TADP_client_005_r1_b8944d1ca2128eff__35caa62ba12111da.json,,,,,,,,,,,,,,,f509acf4e02c3008557af501f270df16c42fcb50cd651bc49be0ec52717d5213,c89c421a5a509c8230e3f4fd2aa697543e3af095d4132b69a754ba269528d919,,
3,7168ab3c4adfa365cd006b0d08b602f6,7e9eb58cbdb02b74756f5c4c27945b3cc9e1a238ec3d8ac82aa08aa22eac48ef,2026-08-24T22:54:42.816229+00:00,TADP-SEC/14.0,CLIENT_ACCEPTED_SUBMISSION,T1_Plain_TADP,,,,client_005,,,,,,,,,,,2.3-phase1-fixed-threshold-critical-floor-review-profile,e910eb11d46f5a33a9f6a7d996c6c242f2a4caa089255874076d8ae12155dc94,4e91dad0bdca381cdf181abcb3c58fbdf8525cfa193b19ecca82fb101934b496,06bc69b9c3f13b313b07b410d3fc30fac952a993dcfea331f62f5c65f2de56d1,a3b8208246e72eb5f383bfdcf71b381b4cb65fcfe2512f46091a0d7d9d56033c,VALIDATED_EVIDENCE_BUNDLE,,,,,,,,,,,,,,,,,,,,,,,,UPDATE_SUBMITTED_ENFORCED,,False,NOT_REQUIRED_AUTOMATED_POLICY,False,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,44a80aca8f6537b2f70c7f8b5cb7111afedb8e8afb3665f5c23fd212cfbb74e7,12abaeda2fba483afcef4ff9daf8aaeed2b2df1e0a1a1ba7195b79af3cbff092,,,2026-08-25T22:32:04.883782+00:00,e878c886c2fce5669a5abdfd2cf12d11,,,,,80467a1951f575569b9d5a1589ff2eaaa2003be9007744f2b34141dde5521ad1,f2b14f9d80c666ab005ad941036b0ad284f2ba09098ec9ba2c48cc2786e88891,,,2026-08-25T22:54:40.997990+00:00,75d46ecd684a2dc4b6a8e27daff7fed8db3fae5cae653b9ddb3099795df8cd6c,active,,,2,ACCEPTED,ALL_BASELINE_CONTROLS,,,,True,True,True,True,True,False,GYYu6ZkzQI+PrtqgrzQ94PJNZ9N5tkhhkkKj1O/Ao30=,843f321eabac25b961e7127da1f1649e6ce038d8f2a4dda77f32bf498be1bd20,/AihxcWZKMhhMS8aavWjybrhf6c3gFpzeEPlX7hunhM=,c859068f8ce09521782f35483ccbbbdb7c443e7744283916319fdb871e291a93,Mf379fjLP/ouPva07ABfuagSm6OA6v86uWQHOOGuYBU=,d2de0eecb364b6ad6dfd68c57fbb2b61edd7f408c047202d5ab95910a24e2627,,,,,,,,,,,,,,,,,474d7f497ae95097999b27a749657135c645707532b0bc3aed98653e2278d760,audit_trails/artifacts/accepted_runtime_submissions/T1_Plain_TADP_client_005_r2_843f321eabac25b9__474d7f497ae95097.json,,,,,,,,,,,,,c89c421a5a509c8230e3f4fd2aa697543e3af095d4132b69a754ba269528d919,8f09d2f974b1839fd1b60cd511381c4b8ae4253bad4ecd772028810c3c274e36,,
4,7947f7adfe4eaba10a757ff3ed284d42,7e9eb58cbdb02b74756f5c4c27945b3cc9e1a238ec3d8ac82aa08aa22eac48ef,2026-08-24T22:54:42.834973+00:00,TADP-SEC/14.0,CLIENT_CIPHERTEXT_BINDING,T1_Plain_TADP,,,,client_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPHERTEXT_BOUND_TO_SIGNED_UPDATE,,,,,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,,,,,,e878c886c2fce5669a5abdfd2cf12d11,,,,,,,,,,,,,,2,VERIFIED,,,,,True,,,,,False,GYYu6ZkzQI+PrtqgrzQ94PJNZ9N5tkhhkkKj1O/Ao30=,843f321eabac25b961e7127da1f1649e6ce038d8f2a4dda77f32bf498be1bd20,/AihxcWZKMhhMS8aavWjybrhf6c3gFpzeEPlX7hunhM=,d377df41cc27b9ba4c38fbb5e0e75ae4a57a7ad33743f3a3f68e9f44704536f2,Mf379fjLP/ouPva07ABfuagSm6OA6v86uWQHOOGuYBU=,d2de0eecb364b6ad6dfd68c57fbb2b61edd7f408c047202d5ab95910a24e2627,plaintext_update_no_noise,reference_python,n=|logq=|scale=|scheme=plain,plain,,,,,,,,,f6a4a3ed9e1bb33940d4bc422dccaa504d40de41eeb1567aa332589c739d8030,,c1e9c4ca85cf92dca40eb3a3f2a207459550fea3780b27ba14da7c4c46c6fc71,audit_trails/artifacts/ciphertext_attestations/T1_Plain_TADP_client_005_r2_9d74ff14e2267d06__c1e9c4ca85cf92dc.json,,,,,,,,,,,,,,,8f09d2f974b1839fd1b60cd511381c4b8ae4253bad4ecd772028810c3c274e36,e85ea7f137a682039ed04a03f1ffed40cf44864bec8aff7a74b470fdd9fd027e,,
5,2d960dccff142b3e7d06454b034ca665,7e9eb58cbdb02b74756f5c4c27945b3cc9e1a238ec3d8ac82aa08aa22eac48ef,2026-08-24T22:54:44.163595+00:00,TADP-SEC/14.0,CLIENT_ACCEPTED_SUBMISSION,T1_Plain_TADP,,,,client_005,,,,,,,,,,,2.3-phase1-fixed-threshold-critical-floor-review-profile,e910eb11d46f5a33a9f6a7d996c6c242f2a4caa089255874076d8ae12155dc94,4e91dad0bdca381cdf181abcb3c58fbdf8525cfa193b19ecca82fb101934b496,06bc69b9c3f13b313b07b410d3fc30fac952a993dcfea331f62f5c65f2de56d1,a3b8208246e72eb5f383bfdcf71b381b4cb65fcfe2512f46091a0d7d9d56033c,VALIDATED_EVIDENCE_BUNDLE,,,,,,,,,,,,,,,,,,,,,,,,UPDATE_SUBMITTED_ENFORCED,,False,NOT_REQUIRED_AUTOMATED_POLICY,False,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,44a80aca8f6537b2f70c7f8b5cb7111afedb8e8afb3665f5c23fd212cfbb74e7,12abaeda2fba483afcef4ff9daf8aaeed2b2df1e0a1a1ba7195b79af3cbff092,,,2026-08-25T22:32:04.883782+00:00,e878c886c2fce5669a5abdfd2cf12d11,,,,,80467a1951f575569b9d5a1589ff2eaaa2003be9007744f2b34141dde5521ad1,f2b14f9d80c666ab005ad941036b0ad284f2ba09098ec9ba2c48cc2786e88891,,,2026-08-25T22:54:40.997990+00:00,75d46ecd684a2dc4b6a8e27daff7fed8db3fae5cae653b9ddb3099795df8cd6c,active,,,3,ACCEPTED,ALL_BASELINE_CONTROLS,,,,True,True,True,True,True,False,QMUYNNO68AAMuOXK0NlqGEmLtAm1BHkXVmfnqcqDwHk=,a10b23eae605513e12afd5ee25d7c44b31edd7d60761870e7a177f7a207a78d9,/AihxcWZKMhhMS8aavWjybrhf6c3gFpzeEPlX7hunhM=,7a69dc32daa30a2c640152d057d7e4030015ff3951a4851d7eaa56b40a37bf1d,GQ9X2iz65bg5nRoK1e18Q8dkbrEYeMBirHq4yj5VVGM=,d2de0eecb364b6ad6dfd68c57fbb2b61edd7f408c047202d5ab95910a24e2627,,,,,,,,,,,,,,,,,536a2cc8542900d9eb0501311b2d0ecf2093afa623cc7c6e7dc24d853b6fe696,audit_trails/artifacts/accepted_runtime_submissions/T1_Plain_TADP_client_005_r3_a10b23eae605513e__536a2cc8542900d9.json,,,,,,,,,,,,,e85ea7f137a682039ed04a03f1ffed40cf44864bec8aff7a74b470fdd9fd027e,62839149f7a89d09a6a099585d4b711f5a5cc72761735fd02387208a3e7ac3ea,,
6,2efc1bdaaf5b8877d818974b9c0206ad,7e9eb58cbdb02b74756f5c4c27945b3cc9e1a238ec3d8ac82aa08aa22eac48ef,2026-08-24T22:54:44.181977+00:00,TADP-SEC/14.0,CLIENT_CIPHERTEXT_BINDING,T1_Plain_TADP,,,,client_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPHERTEXT_BOUND_TO_SIGNED_UPDATE,,,,,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,,,,,,e878c886c2fce5669a5abdfd2cf12d11,,,,,,,,,,,,,,3,VERIFIED,,,,,True,,,,,False,QMUYNNO68AAMuOXK0NlqGEmLtAm1BHkXVmfnqcqDwHk=,a10b23eae605513e12afd5ee25d7c44b31edd7d60761870e7a177f7a207a78d9,/AihxcWZKMhhMS8aavWjybrhf6c3gFpzeEPlX7hunhM=,598df5af81f361214262ffaadad0d77ef616271c40369dd2022a5ba8fe942bbc,GQ9X2iz65bg5nRoK1e18Q8dkbrEYeMBirHq4yj5VVGM=,d2de0eecb364b6ad6dfd68c57fbb2b61edd7f408c047202d5ab95910a24e2627,plaintext_update_no_noise,reference_python,n=|logq=|scale=|scheme=plain,plain,,,,,,,,,f6a4a3ed9e1bb33940d4bc422dccaa504d40de41eeb1567aa332589c739d8030,,5075a23c12114d9d42c2f00bf49c18064f20e9256b9a207e72189a6366502d35,audit_trails/artifacts/ciphertext_attestations/T1_Plain_TADP_client_005_r3_bff037d6f7cef58f__5075a23c12114d9d.json,,,,,,,,,,,,,,,62839149f7a89d09a6a099585d4b711f5a5cc72761735fd02387208a3e7ac3ea,17f07801f1173142c4c848b3ba6059654aa5f734b6b127b75001208fd6f14db1,,
7,45aa25c1dae874e6a7746b30025accc0,7e9eb58cbdb02b74756f5c4c27945b3cc9e1a238ec3d8ac82aa08aa22eac48ef,2026-08-24T22:54:45.258259+00:00,TADP-SEC/14.0,CLIENT_ACCEPTED_SUBMISSION,T1_Plain_TADP,,,,client_005,,,,,,,,,,,2.3-phase1-fixed-threshold-critical-floor-review-profile,e910eb11d46f5a33a9f6a7d996c6c242f2a4caa089255874076d8ae12155dc94,4e91dad0bdca381cdf181abcb3c58fbdf8525cfa193b19ecca82fb101934b496,06bc69b9c3f13b313b07b410d3fc30fac952a993dcfea331f62f5c65f2de56d1,a3b8208246e72eb5f383bfdcf71b381b4cb65fcfe2512f46091a0d7d9d56033c,VALIDATED_EVIDENCE_BUNDLE,,,,,,,,,,,,,,,,,,,,,,,,UPDATE_SUBMITTED_ENFORCED,,False,NOT_REQUIRED_AUTOMATED_POLICY,False,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,44a80aca8f6537b2f70c7f8b5cb7111afedb8e8afb3665f5c23fd212cfbb74e7,12abaeda2fba483afcef4ff9daf8aaeed2b2df1e0a1a1ba7195b79af3cbff092,,,2026-08-25T22:32:04.883782+00:00,e878c886c2fce5669a5abdfd2cf12d11,,,,,80467a1951f575569b9d5a1589ff2eaaa2003be9007744f2b34141dde5521ad1,f2b14f9d80c666ab005ad941036b0ad284f2ba09098ec9ba2c48cc2786e88891,,,2026-08-25T22:54:40.997990+00:00,75d46ecd684a2dc4b6a8e27daff7fed8db3fae5cae653b9ddb3099795df8cd6c,active,,,4,ACCEPTED,ALL_BASELINE_CONTROLS,,,,True,True,True,True,True,False,fGOu0uzMZZHJU2oD1Q3+RdosJnWZ+UXTjBnPffCMTS0=,6632d229f27d9f5ec57325466fc443b2f6190794571e650eda89f87c4bc152b2,/AihxcWZKMhhMS8aavWjybrhf6c3gFpzeEPlX7hunhM=,99f9b2c324a803ba1e493813f41bdddbe40cca68857414c5aba80761fabf5621,3LLe+kHMlj1TjXgwceeCgwOT0R8Po7dRnEjK6xAMavg=,d2de0eecb364b6ad6dfd68c57fbb2b61edd7f408c047202d5ab95910a24e2627,,,,,,,,,,,,,,,,,55637c73a380b38ea2b17edcce1374aaee32b49449c43a7b5f6deb4e2a920435,audit_trails/artifacts/accepted_runtime_submissions/T1_Plain_TADP_client_005_r4_6632d229f27d9f5e__55637c73a380b38e.json,,,,,,,,,,,,,17f07801f1173142c4c848b3ba6059654aa5f734b6b127b75001208fd6f14db1,ce3847257632c660d58118f663e05c0ea7052d74a99cda4025ab892e50189c15,,
8,cb74367df694e8a30a4211c9334eb004,7e9eb58cbdb02b74756f5c4c27945b3cc9e1a238ec3d8ac82aa08aa22eac48ef,2026-08-24T22:54:45.279751+00:00,TADP-SEC/14.0,CLIENT_CIPHERTEXT_BINDING,T1_Plain_TADP,,,,client_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPHERTEXT_BOUND_TO_SIGNED_UPDATE,,,,,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,,,,,,e878c886c2fce5669a5abdfd2cf12d11,,,,,,,,,,,,,,4,VERIFIED,,,,,True,,,,,False,fGOu0uzMZZHJU2oD1Q3+RdosJnWZ+UXTjBnPffCMTS0=,6632d229f27d9f5ec57325466fc443b2f6190794571e650eda89f87c4bc152b2,/AihxcWZKMhhMS8aavWjybrhf6c3gFpzeEPlX7hunhM=,cf1b9d8387beb043ec03f64deb21519324afd66430caee01a768d3a7a0125bc5,3LLe+kHMlj1TjXgwceeCgwOT0R8Po7dRnEjK6xAMavg=,d2de0eecb364b6ad6dfd68c57fbb2b61edd7f408c047202d5ab95910a24e2627,plaintext_update_no_noise,reference_python,n=|logq=|scale=|scheme=plain,plain,,,,,,,,,f6a4a3ed9e1bb33940d4bc422dccaa504d40de41eeb1567aa332589c739d8030,,db0bc10862678799988fc08204388731f6cc15e8a5664885e0228df274a1a15d,audit_trails/artifacts/ciphertext_attestations/T1_Plain_TADP_client_005_r4_3399f6596eac7018__db0bc10862678799.json,,,,,,,,,,,,,,,ce3847257632c660d58118f663e05c0ea7052d74a99cda4025ab892e50189c15,254acf312ca34a1d13d5a46190f4a02b3c1efec971646a38fd6ac78e863214d9,,
9,8e3b30459de53185c6eb82206e29d442,7e9eb58cbdb02b74756f5c4c27945b3cc9e1a238ec3d8ac82aa08aa22eac48ef,2026-08-24T22:54:46.331549+00:00,TADP-SEC/14.0,CLIENT_ACCEPTED_SUBMISSION,T1_Plain_TADP,,,,client_005,,,,,,,,,,,2.3-phase1-fixed-threshold-critical-floor-review-profile,e910eb11d46f5a33a9f6a7d996c6c242f2a4caa089255874076d8ae12155dc94,4e91dad0bdca381cdf181abcb3c58fbdf8525cfa193b19ecca82fb101934b496,06bc69b9c3f13b313b07b410d3fc30fac952a993dcfea331f62f5c65f2de56d1,a3b8208246e72eb5f383bfdcf71b381b4cb65fcfe2512f46091a0d7d9d56033c,VALIDATED_EVIDENCE_BUNDLE,,,,,,,,,,,,,,,,,,,,,,,,UPDATE_SUBMITTED_ENFORCED,,False,NOT_REQUIRED_AUTOMATED_POLICY,False,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,44a80aca8f6537b2f70c7f8b5cb7111afedb8e8afb3665f5c23fd212cfbb74e7,12abaeda2fba483afcef4ff9daf8aaeed2b2df1e0a1a1ba7195b79af3cbff092,,,2026-08-25T22:32:04.883782+00:00,e878c886c2fce5669a5abdfd2cf12d11,,,,,80467a1951f575569b9d5a1589ff2eaaa2003be9007744f2b34141dde5521ad1,f2b14f9d80c666ab005ad941036b0ad284f2ba09098ec9ba2c48cc2786e88891,,,2026-08-25T22:54:40.997990+00:00,75d46ecd684a2dc4b6a8e27daff7fed8db3fae5cae653b9ddb3099795df8cd6c,active,,,5,ACCEPTED,ALL_BASELINE_CONTROLS,,,,True,True,True,True,True,False,VgU2qnRutMxfHktNdAgnfKCzs98LOb3pxxpxWzQmBj8=,dc2e5603c45a937eb636883088db0ab20760efb3b57483fba106420e4704c221,/AihxcWZKMhhMS8aavWjybrhf6c3gFpzeEPlX7hunhM=,6165040b5b74f6cc0ca620a9c0841118b54d68572427914ff1b2f2a3c577bb55,D2V111VWWDTfQSLkSrlcCoSHCp56LCdqpNUuiXc+3bQ=,d2de0eecb364b6ad6dfd68c57fbb2b61edd7f408c047202d5ab95910a24e2627,,,,,,,,,,,,,,,,,7f4f6afdb5df01ee11cdf29b8512cc4248d79a4351915c99e5c5b25a9d676d13,audit_trails/artifacts/accepted_runtime_submissions/T1_Plain_TADP_client_005_r5_dc2e5603c45a937e__7f4f6afdb5df01ee.json,,,,,,,,,,,,,254acf312ca34a1d13d5a46190f4a02b3c1efec971646a38fd6ac78e863214d9,f59fd87f1fb15903de133b874d1f186537c3e9f5cac1226a29ec28be9a70c075,,
10,331c2a327052537be6838378bef32cdc,7e9eb58cbdb02b74756f5c4c27945b3cc9e1a238ec3d8ac82aa08aa22eac48ef,2026-08-24T22:54:46.351437+00:00,TADP-SEC/14.0,CLIENT_CIPHERTEXT_BINDING,T1_Plain_TADP,,,,client_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPHERTEXT_BOUND_TO_SIGNED_UPDATE,,,,,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,,,,,,e878c886c2fce5669a5abdfd2cf12d11,,,,,,,,,,,,,,5,VERIFIED,,,,,True,,,,,False,VgU2qnRutMxfHktNdAgnfKCzs98LOb3pxxpxWzQmBj8=,dc2e5603c45a937eb636883088db0ab20760efb3b57483fba106420e4704c221,/AihxcWZKMhhMS8aavWjybrhf6c3gFpzeEPlX7hunhM=,35159624a9c3d4380a1314e47cb5b9117d6741fb115967df26c6748d39689b42,D2V111VWWDTfQSLkSrlcCoSHCp56LCdqpNUuiXc+3bQ=,d2de0eecb364b6ad6dfd68c57fbb2b61edd7f408c047202d5ab95910a24e2627,plaintext_update_no_noise,reference_python,n=|logq=|scale=|scheme=plain,plain,,,,,,,,,f6a4a3ed9e1bb33940d4bc422dccaa504d40de41eeb1567aa332589c739d8030,,6735c3630cb69c2923ce70f88d36492547037419ff01bbd3f3566ae1e8fd31a1,audit_trails/artifacts/ciphertext_attestations/T1_Plain_TADP_client_005_r5_1837954e20fd6c78__6735c3630cb69c29.json,,,,,,,,,,,,,,,f59fd87f1fb15903de133b874d1f186537c3e9f5cac1226a29ec28be9a70c075,8616505b6af3703f7bdd988b6c63568b1e1a12fe31f4af87565e3385c81c6b82,,
